Timestamp,No,Age,Gender,Experience,Degree,Major,FM_1,FM_2,GM_1,FM_3,GM_2,FM_4,GM_3,GM_4,FM_5,FM_6,GM_5,FM_7,GM_6,FM_8,GM_7,GM_8,SA_1,SA_2,SA_3,SA_4,SA_5,SA_6,DA_1,DA_2,DA_3,DA_4,ENFE_1,ENFE_2,ENFE_3,TI_1,TI_2,TI_3,TI_4
2023/10/24 9:09:23 PM GMT+3:30,11,24,Male,4,B.A.,Teaching,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral, Agree,Strongly Agree,Strongly Agree,Agree,Agree,Slightly Agree,Strongly Agree
2023/10/24 11:04:52 PM GMT+3:30,12,24,Male,2,B.A.,Teaching,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral, Agree, Agree,Neutral, Agree, Agree, Agree,Slightly Agree,Agree,Neutral,Agree
2023/10/25 9:17:55 AM GMT+3:30,13,31,Male,1,M.A.,Teaching,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Slightly Agree,Slightly Disagree,Disagree,Agree,Disagree,Slightly Agree,Disagree,Agree,Slightly Agree, Agree,Neutral,Neutral, Agree, Agree, Agree,Neutral, Agree, Agree,Neutral, Agree, Agree, Agree,Slightly Agree,Slightly Agree,Neutral,Agree
2023/10/26 9:22:25 AM GMT+3:30,14,26,Male,1,B.A.,Teaching,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Agree,Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree, Agree, Agree, Agree,Neutral,Neutral,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Neutral,Neutral
2023/10/26 9:28:41 AM GMT+3:30,15,28,Female,5,M.A.,Translation,Slightly Agree,Agree,Strongly Agree,Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree, Agree,Neutral,Disagree,Disagree, Agree,Strongly Agree, Agree, Agree,Disagree,Neutral, Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Slightly Agree
2023/10/26 10:11:22 AM GMT+3:30,16,24,Female,2,B.A.,Teaching,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree
2023/10/26 2:07:01 PM GMT+3:30,17,26,Male,3,B.A.,Teaching,Agree,Agree,Agree,Slightly Agree,Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023/10/27 11:36:40 PM GMT+3:30,18,29,Female,3,M.A.,Teaching,Agree,Agree,Agree,Agree,Disagree,Agree,Slightly Agree,Disagree,Slightly Agree,Agree,Disagree,Agree,Disagree,Agree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree, Agree, Agree, Agree,Neutral, Agree, Agree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Disagree
2023/10/28 7:25:34 AM GMT+3:30,19,25,Female,4,B.A.,Teaching,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Disagree,Agree,Slightly Disagree,Disagree,Neutral,Disagree, Agree,Disagree,Disagree,Disagree,Neutral, Agree, Agree, Agree, Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neutral,Slightly Agree
2023/10/29 8:00:05 PM GMT+3:30,20,30,Male,3,M.A.,Teaching,Disagree,Disagree,Agree,Disagree,Slightly Agree,Disagree,Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral, Agree, Agree, Agree, Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree, Agree,Neutral,Neutral,Slightly Agree,Slightly Agree,Neutral
2023/10/29 8:02:44 PM GMT+3:30,21,31,Male,5,M.A.,Literature,Disagree,Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Disagree,Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,Agree,Agree, Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral, Agree,Neutral, Agree, Agree, Agree, Agree,Strongly Agree,Agree,Neutral,Neutral,Agree
2023/10/29 11:35:18 PM GMT+3:30,22,25,Female,2,B.A.,Teaching,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral, Agree,Neutral,Slightly Agree,Slightly Agree,Neutral,Neutral
2023/10/30 3:12:42 PM GMT+3:30,23,24,Female,3,B.A.,Teaching,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree, Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Slightly Agree,Slightly Agree,Neutral
2023/10/31 9:49:19 AM GMT+3:30,24,30,Male,1,M.A.,Translation,Agree,Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree, Agree, Agree,Disagree,Disagree,Disagree,Disagree, Agree, Agree, Agree, Agree, Agree, Agree, Agree,Slightly Agree,Disagree,Slightly Disagree,Disagree
2023/10/31 9:08:44 PM GMT+3:30,25,24,Female,5,B.A.,Teaching,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Strongly Agree,Slightly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree, Agree,Disagree,Disagree, Agree, Agree, Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
2023/11/09 10:03:59 PM GMT+3:30,26,27,Male,4,B.A.,Teaching,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Disagree,Disagree,Slightly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral, Agree, Agree,Neutral,Slightly Agree,Neutral,Agree
2023/11/10 12:21:20 AM GMT+3:30,27,31,Female,2,M.A.,Teaching,Slightly Disagree,Slightly Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree, Agree, Agree,Neutral, Agree, Agree,Neutral,Neutral, Agree, Agree, Agree,Disagree,Slightly Agree,Disagree,Neutral
2023/11/10 9:30:31 AM GMT+3:30,28,30,Female,3,M.A.,Literature,Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Neutral, Agree, Agree, Agree, Agree, Agree,Strongly Agree, Agree,Strongly Agree, Agree,Neutral,Neutral, Agree,Neutral,Neutral,Slightly Agree,Neutral
2023/11/10 9:48:13 AM GMT+3:30,29,31,Male,1,M.A.,Translation,Disagree,Agree,Slightly Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Neutral,Disagree, Agree, Agree, Agree, Agree, Agree,Neutral, Agree,Neutral, Agree,Neutral,Agree,Agree,Agree,Agree
2023/11/10 9:54:54 AM GMT+3:30,30,26,Female,2,B.A.,Teaching,Disagree,Disagree,Agree,Disagree,Agree,Slightly Disagree,Agree,Agree,Disagree,Disagree,Agree,Slightly Disagree,Agree,Slightly Disagree,Agree,Agree, Agree, Agree,Disagree,Neutral,Disagree, Agree, Agree, Agree, Agree,Disagree, Agree, Agree,Neutral,Disagree,Disagree,Disagree,Disagree
2023/11/10 10:16:24 AM GMT+3:30,31,26,Male,5,B.A.,Teaching,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree, Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree, Agree, Agree,Strongly Agree,Neutral,Strongly Agree, Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023/11/10 10:35:52 AM GMT+3:30,32,28,Male,5,B.A.,Teaching,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree, Agree,Disagree, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree,Disagree,Disagree,Disagree,Disagree
2023/11/10 12:05:44 PM GMT+3:30,33,31,Male,4,M.A.,Translation,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral, Agree, Agree,Neutral, Agree,Neutral, Agree, Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
2023/11/10 1:23:58 PM GMT+3:30,34,25,Female,5,B.A.,Teaching,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral, Agree, Agree, Agree,Neutral,Disagree,Neutral,Neutral,Slightly Disagree,Disagree,Neutral,Agree
2023/11/12 1:27:53 AM GMT+3:30,35,25,Female,3,B.A.,Teaching,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree, Agree, Agree, Agree, Agree, Agree, Agree, Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree
2023/11/13 10:24:55 PM GMT+3:30,36,30,Female,3,M.A.,Teaching,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Slightly Agree,Slightly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree, Agree, Agree,Disagree, Agree, Agree, Agree, Agree,Slightly Agree,Agree,Neutral,Agree
2023/11/14 4:46:32 PM GMT+3:30,37,27,Male,2,B.A.,Teaching,Disagree,Slightly Disagree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree, Agree, Agree, Agree, Agree,Disagree, Agree, Agree,Disagree, Agree,Disagree,Neutral, Agree, Agree,Disagree,Disagree,Disagree,Disagree
2023/11/14 6:47:09 PM GMT+3:30,38,29,Male,2,M.A.,Teaching,Disagree,Disagree,Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Slightly Agree,Strongly Agree,Disagree,Disagree, Agree, Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree, Agree, Agree,Neutral, Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree
2023/11/14 8:55:22 PM GMT+3:30,39,29,Female,4,M.A.,Teaching,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree, Agree,Disagree, Agree, Agree, Agree, Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2023/11/14 9:39:37 PM GMT+3:30,40,29,Male,3,M.A.,Translation,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2023/11/16 6:38:49 PM GMT+3:30,41,24,Male,5,B.A.,Teaching,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral, Agree, Agree,Strongly Agree,Strongly Agree, Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
2023/11/16 6:55:53 PM GMT+3:30,42,28,Female,1,M.A.,Teaching,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Slightly Agree, Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree, Agree, Agree, Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
2023/11/16 7:14:09 PM GMT+3:30,43,25,Female,3,B.A.,Translation,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Disagree, Agree, Agree,Neutral,Neutral, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Agree,Disagree,Disagree,Agree,Disagree
2023/11/16 9:37:24 PM GMT+3:30,44,25,Male,1,B.A.,Teaching,Agree,Slightly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,Disagree,Agree,Slightly Agree,Disagree,Agree,Disagree,Slightly Agree,Disagree,Disagree, Agree, Agree, Agree, Agree,Strongly Agree, Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
2023/11/16 10:29:53 PM GMT+3:30,45,28,Female,1,M.A.,Teaching,Disagree,Slightly Disagree,Slightly Agree,Disagree,Agree,Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral, Agree, Agree, Agree, Agree, Agree, Agree,Disagree,Slightly Disagree,Disagree,Strongly Disagree
2023/11/20 6:48:44 PM GMT+3:30,46,28,Male,2,M.A.,Translation,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Neutral,Neutral,Neutral, Agree, Agree,Neutral,Strongly Agree,Neutral, Agree, Agree,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,Neutral,Slightly Agree
2023/11/20 7:21:54 PM GMT+3:30,47,30,Female,3,M.A.,Translation,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral, Agree,Neutral, Agree,Neutral, Agree, Agree,Disagree,Neutral,Disagree, Agree,Neutral, Agree,Agree,Neutral,Neutral,Neutral
2023/11/20 8:12:37 PM GMT+3:30,48,25,Male,4,B.A.,Teaching,Slightly Agree,Slightly Agree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Neutral, Agree, Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Slightly Disagree,Slightly Disagree,Neutral
2023/11/20 9:18:00 PM GMT+3:30,49,27,Female,5,B.A.,Teaching,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Disagree, Agree, Agree,Neutral, Agree, Agree, Agree, Agree,Neutral,Neutral,Neutral, Agree,Neutral, Agree,Neutral,Neutral,Disagree,Neutral
2023/11/21 10:25:58 PM GMT+3:30,50,32,Male,3,M.A.,Literature,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree, Agree,Neutral, Agree, Agree, Agree, Agree, Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Disagree
2023/11/22 12:12:47 PM GMT+3:30,51,30,Female,4,M.A.,Literature,Disagree,Slightly Disagree,Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Disagree,Agree,Slightly Agree,Neutral, Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral, Agree,Neutral, Agree, Agree,Neutral,Disagree,Slightly Disagree,Disagree,Slightly Disagree
2023/11/22 2:09:32 PM GMT+3:30,52,32,Female,5,M.A.,Translation,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral, Agree,Neutral, Agree, Agree, Agree,Neutral, Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree
2023/11/22 9:40:09 PM GMT+3:30,53,24,Female,1,B.A.,Teaching,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree, Agree, Agree,Strongly Disagree,Strongly Disagree,Disagree, Agree,Strongly Agree,Strongly Agree,Strongly Agree, Agree,Strongly Agree, Agree, Agree,Neutral,Strongly Agree,Neutral,Neutral
2023/11/23 8:40:33 AM GMT+3:30,54,26,Male,1,B.A.,Teaching,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Slightly Agree,Disagree,Slightly Disagree, Agree, Agree,Neutral, Agree, Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Slightly Agree,Agree,Slightly Agree,Agree
2023/11/23 10:10:45 PM GMT+3:30,55,28,Female,3,B.A.,Teaching,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Neutral, Agree,Neutral,Strongly Agree, Agree,Disagree, Agree,Disagree,Strongly Disagree,Slightly Disagree,Disagree
2023/11/23 10:15:13 PM GMT+3:30,56,30,Female,2,M.A.,Literature,Slightly Disagree,Slightly Agree,Agree,Disagree,Agree,Slightly Disagree,Agree,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Disagree,Slightly Agree,Agree, Agree,Neutral,Disagree, Agree,Disagree, Agree, Agree, Agree, Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree
